emp_no,first_name,last_name,title,from_date,salary,id,count
259430,Yechiam,Kobara,Senior Engineer,2002-08-01,42235,29248,13538
96599,Kwee,Salverda,Senior Engineer,2002-08-01,40000,16066,13538
206731,Phuoc,Ramras,Senior Engineer,2002-08-01,47835,19774,13538
461960,Remko,Ramsay,Senior Staff,2002-08-01,45705,47750,12771
459158,Naftali,Anger,Senior Staff,2002-07-31,79635,47237,12771
263088,Xianlong,Undy,Senior Staff,2002-07-31,41440,29902,12771
417555,Zejun,Coors,Senior Engineer,2002-07-31,60173,39848,13538
289182,Gio,Nicolson,Senior Staff,2002-07-31,40000,34685,12771
445728,Herb,Lorin,Engineer,2002-07-31,43208,44814,2696
56227,Shen,Makrucki,Senior Staff,2002-07-31,52748,8496,12771
106648,Khue,Masamoto,Senior Engineer,2002-07-31,55524,17930,13538
37664,Dines,Sundgren,Senior Engineer,2002-07-31,40000,5127,13538
96196,Berthier,Zambonelli,Senior Engineer,2002-07-30,45838,16010,13538
458538,Zissis,Prenel,Senior Staff,2002-07-30,40000,47107,12771
32261,Bernt,Dehkordi,Senior Engineer,2002-07-29,61148,4147,13538
221086,Baziley,Motley,Senior Staff,2002-07-29,40000,22365,12771
45217,Marsal,Pena,Senior Staff,2002-07-29,40000,6472,12771
240083,Huan,Kroon,Senior Engineer,2002-07-29,40726,25856,13538
299091,Kinh,Angel,Senior Engineer,2002-07-28,40000,36497,13538
73758,Serenella,Sevcikova,Senior Engineer,2002-07-28,44201,11724,13538
248336,Amstein,Vitiello,Senior Staff,2002-07-28,76219,27223,12771
53092,Tetsushi,England,Senior Staff,2002-07-28,81343,7932,12771
442133,Bernd,Angel,Senior Staff,2002-07-28,85908,44157,12771
13210,Jianhua,Klassen,Senior Staff,2002-07-27,83961,558,12771
203484,Guttorm,Gyimothy,Senior Staff,2002-07-27,57018,19196,12771
98445,Spyrose,Constantine,Senior Engineer,2002-07-27,65189,16393,13538
109167,Uli,Harllee,Senior Staff,2002-07-27,40000,18384,12771
60488,Yakkov,Staylopatis,Senior Engineer,2002-07-27,55530,9352,13538
235740,Arco,Baer,Senior Staff,2002-07-26,86294,25074,12771
16130,Kerryn,Belinskaya,Engineer,2002-07-26,40000,1107,2696
205524,Dante,Reistad,Senior Engineer,2002-07-25,44416,19549,13538
413166,Koldo,Salverda,Senior Staff,2002-07-24,61714,39076,12771
474376,Jovan,Bage,Senior Engineer,2002-07-24,46646,49997,13538
299587,Visit,Schaad,Senior Engineer,2002-07-24,63186,36599,13538
467524,Youngkon,Pearson,Senior Staff,2002-07-24,79405,48758,12771
474386,Collette,Ohori,Engineer,2002-07-23,44880,49999,2696
454271,Uta,Sullins,Senior Engineer,2002-07-22,40000,46325,13538
467443,Xiadong,Ramamoorthy,Senior Engineer,2002-07-21,40000,48735,13538
259457,Alper,Garnier,Senior Engineer,2002-07-21,62540,29257,13538
278523,Berni,Back,Senior Staff,2002-07-21,75523,32696,12771
86342,Marit,Boguraev,Senior Engineer,2002-07-21,57263,14185,13538
269157,Leaf,Asrin,Senior Staff,2002-07-20,84354,31015,12771
456169,Kinh,Perl,Senior Engineer,2002-07-20,43729,46679,13538
293048,Berhard,Simmen,Senior Staff,2002-07-19,40000,35367,12771
202006,Gritta,Peac,Engineer,2002-07-19,49739,18902,2696
280247,Lorien,Desikan,Senior Engineer,2002-07-19,40000,33013,13538
101845,Giordano,Pouyioutas,Senior Staff,2002-07-19,40000,17012,12771
86081,Valery,Iwayama,Senior Staff,2002-07-19,53594,14138,12771
62443,Conrado,Pluym,Senior Engineer,2002-07-18,57970,9727,13538
70602,Hongzhu,Maquelin,Senior Engineer,2002-07-18,40000,11153,13538
474569,Paraskevi,Nyanchama,Senior Staff,2002-07-18,92009,50025,12771
232134,Malu,Suwa,Senior Engineer,2002-07-17,48500,24375,13538
448254,Hironobu,Gischer,Senior Engineer,2002-07-17,60178,45230,13538
488057,Gennady,Schonegge,Senior Engineer,2002-07-14,40501,52548,13538
44873,Eberhardt,Raczkowsky,Senior Staff,2002-07-14,47739,6394,12771
64796,Xiadong,Auria,Senior Staff,2002-07-14,66457,10116,12771
435456,Chiradeep,Bazzichi,Senior Engineer,2002-07-14,45009,42978,13538
67761,Jagoda,Rothe,Senior Staff,2002-07-14,40000,10664,12771
234816,Filipe,Langford,Senior Engineer,2002-07-13,51399,24898,13538
57715,Shaibal,Chinen,Senior Staff,2002-07-13,40000,8802,12771
96138,Lidong,Ghalwash,Senior Engineer,2002-07-13,40000,15998,13538
58475,Angel,Chaudhury,Senior Engineer,2002-07-11,40000,8964,13538
205245,Angus,Raczkowsky,Senior Engineer,2002-07-11,54462,19490,13538
281118,Munir,Leaver,Senior Staff,2002-07-10,72801,33171,12771
292198,Geoff,Gien,Senior Staff,2002-07-10,91548,35212,12771
105264,Chrisa,Simkin,Senior Staff,2002-07-10,56850,17634,12771
35333,Hideyuki,Veldwijk,Senior Engineer,2002-07-10,43872,4663,13538
226568,Deniz,Frezza,Senior Staff,2002-07-10,52504,23389,12771
